AD	84825
AE	5148664
AF	29835392
AG	87884
AI	15094
AL	2994667
AM	2967975
AO	13338541
AR	41769726
AS	67242
AT	8217280
AU	21766711
AW	106113
AZ	8372373
BA	4622163
BB	286705
BD	158570535
BE	10431477
BF	16751455
BG	7093635
BH	1214705
BI	10216190
BJ	9325032
BM	68679
BR	203429773
BT	708427
BW	2065398
BY	9577552
BZ	321115
CA	34030589
CC	596
CF	4950027
CH	7639961
CK	11124
CL	16888760
CM	19711291
CN	1336718015
CO	44725543
CR	4576562
CU	11087330
CV	516100
CX	1402
CY	1120489
CZ	10190213
DE	81471834
DJ	757074
DK	5529888
DM	72969
DO	9956648
DZ	34994937
EC	15007343
EE	1282963
EG	82079636
EH	507160
ER	5939484
ES	46754784
ET	90873739
FI	5259250
FJ	883125
FM	106836
FO	49267
FR	65312249
GA	1576665
GB	62698362
GD	108419
GE	4585874
GG	65068
GH	24791073
GI	28956
GL	57670
GN	10601009
GQ	668225
GR	10760136
GT	13824463
GW	1596677
GY	744768
HK	7122508
HN	8143564
HR	4483804
HT	9719932
HU	9976062
ID	245613043
IE	4670976
IL	7473052
IM	84655
IN	1189172906
IQ	30399572
IS	311058
IT	61016804
JE	94161
JM	2868380
JO	6508271
JP	126475664
KE	41070934
KG	5587443
KH	14701717
KI	100743
KM	794683
KN	50314
KO	1825632
KW	2595628
KY	51384
KZ	15522373
LB	4143101
LC	161557
LI	35236
LK	21283913
LR	3786764
LS	1924886
LT	3535547
LU	503302
LV	2204708
MA	31968361
MC	30539
MD	4314377
ME	661807
MG	21926221
MH	67182
MK	2077328
ML	14159904
MN	3133318
MP	46050
MR	3281634
MS	5140
MT	408333
MU	1303717
MV	394999
MW	15879252
MX	113724226
MY	28728607
MZ	22948858
NA	2147585
NC	256275
NE	16468886
NF	2169
NG	155215573
NI	5666301
NL	16847007
NO	4691849
NP	29391883
NR	9322
NU	1311
NZ	4290347
OM	3027959
PA	3460462
PE	29248943
PF	294935
PG	6187591
PH	101833938
PK	187342721
PL	38441588
PM	5888
PR	3989133
PT	10760305
PW	20956
PY	6459058
QA	848016
RO	21904551
RS	7310555
RU	138739892
RW	11370425
SA	26131703
SB	571890
SC	89188
SD	45047502
SE	9088728
SG	4740737
SI	2000092
SK	5477038
SL	5363669
SM	31817
SN	12643799
SO	9925640
SR	491989
SS	8260490
ST	179506
SV	6071774
SZ	1370424
TC	44819
TD	10758945
TG	6771993
TH	66720153
TJ	7627200
TK	1384
TL	1177834
TM	4997503
TN	10629186
TO	105916
TR	78785548
TT	1227505
TV	10544
UA	45134707
UG	34612250
UK	62698362
US	313232044
UY	3308535
UZ	28128600
VC	103869
VU	224564
WF	15398
WS	193161
YE	24133492
ZA	49004031
ZM	13881336
ZW	12084304
